Lat/Long, -81.500, -81.250, -81.000, -80.750, -80.500, -80.250, -80.000, -79.750, -79.500, -79.250, -79.000, -78.750, -78.500, -78.250, -78.000, -77.750, -77.500, -77.250, -77.000, -76.750, -76.500, -76.250, -76.000, -75.750, -75.500, -75.250, -75.000, -74.750, -74.500, -74.250, -74.000, -73.750, -73.500
  44.000,-0.00072, 0.00031, 0.00114, 0.00169, 0.00191, 0.00175, 0.00121, 0.00030,-0.00095,-0.00246,-0.00408,-0.00562,-0.00699,-0.00818,-0.00914,-0.00986,-0.01030,-0.01046,-0.01036,-0.01004,-0.00951,-0.00885,-0.00815,-0.00747,-0.00686,-0.00636,-0.00595,-0.00564,-0.00541,-0.00523,-0.00507,-0.00491,-0.00475
  43.750,-0.00036, 0.00090, 0.00192, 0.00262, 0.00292, 0.00279, 0.00223, 0.00126,-0.00013,-0.00187,-0.00374,-0.00542,-0.00685,-0.00806,-0.00904,-0.00975,-0.01017,-0.01028,-0.01012,-0.00972,-0.00911,-0.00835,-0.00755,-0.00683,-0.00623,-0.00575,-0.00539,-0.00515,-0.00499,-0.00487,-0.00476,-0.00464,-0.00451
  43.500,-0.00006, 0.00144, 0.00267, 0.00350, 0.00387, 0.00375, 0.00319, 0.00219, 0.00073,-0.00130,-0.00353,-0.00535,-0.00675,-0.00794,-0.00894,-0.00965,-0.01003,-0.01006,-0.00986,-0.00940,-0.00870,-0.00782,-0.00693,-0.00619,-0.00562,-0.00518,-0.00486,-0.00468,-0.00460,-0.00455,-0.00448,-0.00439,-0.00428
  43.250, 0.00007, 0.00183, 0.00327, 0.00424, 0.00464, 0.00449, 0.00391, 0.00299, 0.00163,-0.00074,-0.00359,-0.00544,-0.00665,-0.00777,-0.00881,-0.00953,-0.00984,-0.00975,-0.00951,-0.00903,-0.00828,-0.00727,-0.00630,-0.00559,-0.00509,-0.00471,-0.00441,-0.00429,-0.00429,-0.00429,-0.00425,-0.00416,-0.00405
  43.000,-0.00009, 0.00192, 0.00359, 0.00468, 0.00505, 0.00477, 0.00411, 0.00334, 0.00266,-0.00002,-0.00412,-0.00571,-0.00643,-0.00748,-0.00863,-0.00936,-0.00957,-0.00921,-0.00901,-0.00856,-0.00783,-0.00671,-0.00569,-0.00512,-0.00480,-0.00448,-0.00409,-0.00403,-0.00408,-0.00411,-0.00406,-0.00394,-0.00381
  42.750,-0.00071, 0.00155, 0.00347, 0.00466, 0.00490, 0.00428, 0.00333, 0.00249, 0.00385, 0.00129,-0.00524,-0.00600,-0.00600,-0.00704,-0.00837,-0.00913,-0.00914,-0.00822,-0.00826,-0.00780,-0.00715,-0.00619,-0.00519,-0.00502,-0.00499,-0.00466,-0.00403,-0.00395,-0.00401,-0.00402,-0.00388,-0.00370,-0.00354
  42.500,-0.00195, 0.00047, 0.00265, 0.00393, 0.00399, 0.00275, 0.00127,-0.00126, 0.00445, 0.00359,-0.00500,-0.00600,-0.00600,-0.00684,-0.00763,-0.00900,-0.00802,-0.00678,-0.00730,-0.00639,-0.00507,-0.00630,-0.00510,-0.00592,-0.00602,-0.00516,-0.00477,-0.00400,-0.00399,-0.00398,-0.00359,-0.00334,-0.00319
  42.250,-0.00395,-0.00162, 0.00074, 0.00206, 0.00212,-0.00009,-0.00130,-0.00929,-0.00090,-0.00013,-0.00220,-0.00392,-0.00411,-0.00441,-0.00477,-0.00542,-0.00650,-0.00606,-0.00505,-0.00425,-0.00379,-0.00309,-0.00410,-0.00538,-0.00602,-0.00496,-0.00405,-0.00398,-0.00314,-0.00290,-0.00282,-0.00280,-0.00277
  42.000,-0.00669,-0.00505,-0.00298,-0.00217,-0.00100,-0.00488,-0.00465,-0.00300,-0.00467,-0.00100,-0.00100,-0.00201,-0.00291,-0.00189,-0.00198,-0.00066,-0.00129,-0.00261,-0.00465,-0.00567,-0.00191,-0.00300,-0.00572,-0.00500,-0.00591,-0.00478,-0.00395,-0.00387,-0.00306,-0.00206,-0.00222,-0.00234,-0.00240
  41.750,-0.00950,-0.00949,-0.00998,-0.01255,-0.00620,-0.00679,-0.00600,-0.00385,-0.00300,-0.00282,-0.00201,-0.00184,-0.00196,-0.00102,-0.00100,-0.00002, 0.00000, 0.00078,-0.00112,-0.00094,-0.00100,-0.00100, 0.00007,-0.00101,-0.00170,-0.00179,-0.00321,-0.00348,-0.00305,-0.00294,-0.00244,-0.00218,-0.00211
  41.500,-0.01040,-0.01018,-0.00900,-0.00671,-0.00328,-0.00507,-0.00500,-0.00400,-0.00309,-0.00212,-0.00197,-0.00100,-0.00163, 0.00000, 0.00099, 0.00054, 0.00074, 0.00043, 0.00089, 0.00140, 0.00157, 0.00079, 0.00008,-0.00001, 0.00207, 0.00800, 0.00035,-0.00236,-0.00300,-0.00286,-0.00212,-0.00178,-0.00174
  41.250,-0.00953,-0.00832,-0.00600,-0.00337,-0.00500,-0.00415,-0.00400,-0.00394,-0.00300,-0.00200,-0.00100,-0.00006,-0.00012, 0.00040, 0.00169, 0.00290, 0.00230, 0.00318, 0.00300, 0.00286, 0.00200, 0.00005,-0.00016,-0.00022,-0.00075, 0.00008,-0.00071,-0.00049,-0.00279,-0.00104,-0.00084,-0.00100,-0.00123
  41.000,-0.00834,-0.00667,-0.00500,-0.00482,-0.00403,-0.00307,-0.00300,-0.00300,-0.00100,-0.00200, 0.00000,-0.00149,-0.00158,-0.00013,-0.00165, 0.00000, 0.00200, 0.00371, 0.00171, 0.00000, 0.00100, 0.00186, 0.00004, 0.00015, 0.00008, 0.00097, 0.00072, 0.00102, 0.00076, 0.00088, 0.00024,-0.00037,-0.00078
  40.750,-0.00795,-0.00716,-0.00606,-0.00500,-0.00488,-0.00468,-0.00356,-0.00397,-0.00386,-0.00378,-0.00430,-0.00581,-0.00217,-0.00217,-0.00019, 0.00200, 0.00356, 0.00061, 0.00194, 0.00270, 0.00404, 0.00227, 0.00146, 0.00201, 0.00145, 0.00400, 0.00023, 0.00092, 0.00094, 0.00097, 0.00023,-0.00026,-0.00052
  40.500,-0.00745,-0.00716,-0.00704,-0.00619,-0.00545,-0.00504,-0.00500,-0.00389,-0.00401,-0.00408,-0.00583,-0.00539,-0.00689,-0.00601,-0.00376, 0.00025, 0.00122, 0.00091, 0.00193, 0.00270, 0.00698, 0.00684, 0.00798, 0.00602, 0.00400, 0.00331, 0.00103, 0.00003,-0.00097,-0.00100,-0.00071,-0.00045,-0.00023
  40.250,-0.00682,-0.00659,-0.00620,-0.00703,-0.00591,-0.00427,-0.00335,-0.00241,-0.00405,-0.00435,-0.00663,-0.00792,-0.00815,-0.00613,-0.00148, 0.00134, 0.00208, 0.00292, 0.00386, 0.00516, 0.00771, 0.00803, 0.00900, 0.00500, 0.00300, 0.00406, 0.00251, 0.00093, 0.00000,-0.00100,-0.00055, 0.00012, 0.00062
  40.000,-0.00674,-0.00793,-0.01130,-0.00907,-0.00686,-0.00512,-0.00585,-0.00600,-0.00578,-0.00595,-0.00605,-0.00693,-0.00969,-0.00800,-0.00025, 0.00181, 0.00171, 0.00300, 0.00400, 0.00600, 0.00522, 0.00611, 0.00891, 0.00694, 0.00400, 0.00600, 0.00300, 0.00395, 0.00417, 0.00104, 0.00150, 0.00203, 0.00241
  39.750,-0.00599,-0.00683,-0.00714,-0.00700,-0.00574,-0.00397,-0.00169,-0.00482,-0.00800,-0.00642,-0.00491,-0.00334,-0.00266,-0.00273, 0.00078,-0.00082,-0.00241, 0.00236, 0.00255, 0.00577, 0.00785, 0.00684, 0.00604, 0.00500, 0.00400, 0.00686, 0.00792, 0.00962, 0.00725, 0.00800, 0.00612, 0.00534, 0.00510
  39.500,-0.00483,-0.00512,-0.00572,-0.00510,-0.00348,-0.00041,-0.00525,-0.00508,-0.00790,-0.00788,-0.00594,-0.00339,-0.00178,-0.00073, 0.00015, 0.00003, 0.00000,-0.00200, 0.00067, 0.00310, 0.00665, 0.00600, 0.00600, 0.00688, 0.00714, 0.01147, 0.01499, 0.00959, 0.00817, 0.00783, 0.00840, 0.00839, 0.00816
  39.250,-0.00421,-0.00476,-0.00497,-0.00477,-0.00393,-0.00349,-0.00618,-0.00722,-0.00913,-0.00926,-0.00721,-0.00465,-0.00267,-0.00133,-0.00015, 0.00002, 0.00006,-0.00006, 0.00100, 0.00289, 0.00404, 0.00586, 0.00817, 0.00900, 0.00822, 0.00944, 0.01700, 0.01474, 0.01617, 0.01407, 0.01306, 0.01239, 0.01176
  39.000,-0.00363,-0.00429,-0.00471,-0.00493,-0.00500,-0.00557,-0.00730,-0.00859,-0.00974,-0.00965,-0.00806,-0.00586,-0.00384,-0.00222,-0.00094,-0.00029, 0.00015, 0.00060, 0.00148, 0.00286, 0.00421, 0.00630, 0.00864, 0.00998, 0.01057, 0.01261, 0.01754, 0.01868, 0.01988, 0.01891, 0.01775, 0.01668, 0.01567
