Lat/Long, -84.000, -83.750, -83.500, -83.250, -83.000, -82.750, -82.500, -82.250, -82.000, -81.750, -81.500, -81.250, -81.000, -80.750, -80.500, -80.250, -80.000, -79.750, -79.500, -79.250, -79.000, -78.750, -78.500, -78.250, -78.000, -77.750, -77.500, -77.250, -77.000, -76.750
  41.000, 0.00013,-0.00000,-0.00013,-0.00026,-0.00040,-0.00056,-0.00074,-0.00097,-0.00129,-0.00173,-0.00234,-0.00314,-0.00402,-0.00457,-0.00517,-0.00711,-0.00795,-0.00703,-0.00579,-0.00447,-0.00315,-0.00195,-0.00087, 0.00004, 0.00082, 0.00170, 0.00268, 0.00363, 0.00450, 0.00535
  40.750,-0.00039,-0.00058,-0.00078,-0.00097,-0.00117,-0.00137,-0.00159,-0.00184,-0.00215,-0.00256,-0.00316,-0.00408,-0.00526,-0.00546,-0.00509,-0.00772,-0.00784,-0.00592,-0.00473,-0.00362,-0.00250,-0.00157,-0.00078,-0.00021, 0.00005, 0.00067, 0.00160, 0.00242, 0.00308, 0.00370
  40.500,-0.00091,-0.00116,-0.00142,-0.00167,-0.00193,-0.00219,-0.00246,-0.00275,-0.00308,-0.00348,-0.00398,-0.00495,-0.00712,-0.00724,-0.00733,-0.00883,-0.00400,-0.00315,-0.00345,-0.00296,-0.00205,-0.00147,-0.00090,-0.00060,-0.00122,-0.00084, 0.00030, 0.00105, 0.00152, 0.00193
  40.250,-0.00141,-0.00171,-0.00203,-0.00236,-0.00268,-0.00301,-0.00334,-0.00370,-0.00412,-0.00460,-0.00495,-0.00533,-0.00884,-0.00784,-0.00628,-0.00901,-0.00700,-0.00254,-0.00376,-0.00327,-0.00210,-0.00204,-0.00147,-0.00098,-0.00341,-0.00320,-0.00135,-0.00066,-0.00035,-0.00005
  40.000,-0.00188,-0.00223,-0.00260,-0.00299,-0.00338,-0.00378,-0.00417,-0.00460,-0.00520,-0.00612,-0.00695,-0.00685,-0.00714,-0.00794,-0.00791,-0.00731,-0.00694, 0.00115,-0.00513,-0.00463,-0.00288,-0.00380,-0.00286,-0.00100,-0.00677,-0.00683,-0.00371,-0.00315,-0.00274,-0.00232
  39.750,-0.00232,-0.00270,-0.00311,-0.00354,-0.00399,-0.00445,-0.00487,-0.00526,-0.00587,-0.00731,-0.00894,-0.00805,-0.00792,-0.00700,-0.00785,-0.00582,-0.00460, 0.00596,-0.00700,-0.00701,-0.00643,-0.00672,-0.00482,-0.00336,-0.00778,-0.01174,-0.00951,-0.00705,-0.00560,-0.00473
  39.500,-0.00273,-0.00310,-0.00351,-0.00396,-0.00446,-0.00499,-0.00544,-0.00562,-0.00573,-0.00745,-0.00900,-0.00812,-0.00807,-0.00807,-0.00651, 0.00361,-0.00888,-0.00732,-0.00899,-0.00943,-0.00895,-0.00831,-0.00685,-0.00743,-0.00880,-0.01011,-0.00989,-0.00861,-0.00753,-0.00673
  39.250,-0.00309,-0.00343,-0.00380,-0.00422,-0.00472,-0.00531,-0.00590,-0.00595,-0.00507,-0.00914,-0.00633,-0.00705,-0.00793,-0.00891,-0.00898,-0.00978,-0.01317,-0.01345,-0.01114,-0.00737,-0.00610,-0.00408,-0.00583,-0.00850,-0.00835,-0.01083,-0.00938,-0.00919,-0.00879,-0.00832
  39.000,-0.00342,-0.00370,-0.00398,-0.00428,-0.00465,-0.00520,-0.00607,-0.00610,-0.00256,-0.00525,-0.00590,-0.00700,-0.00800,-0.00900,-0.01000,-0.01186,-0.01294,-0.01290,-0.01200,-0.00900,-0.00583,-0.00400,-0.00778,-0.00988,-0.00997,-0.01100,-0.01091,-0.01040,-0.01001,-0.00968
  38.750,-0.00375,-0.00395,-0.00410,-0.00421,-0.00427,-0.00441,-0.00559,-0.00666,-0.00675,-0.00634,-0.00600,-0.00700,-0.00800,-0.01000,-0.01100,-0.01100,-0.01100,-0.00896,-0.00964,-0.00800,-0.00300,-0.00400,-0.00690,-0.00812,-0.00880,-0.00997,-0.01073,-0.01089,-0.01084,-0.01074
  38.500,-0.00411,-0.00423,-0.00428,-0.00421,-0.00393,-0.00313,-0.00404,-0.00427,-0.00639,-0.00690,-0.00693,-0.00791,-0.00900,-0.01036,-0.01201,-0.01292,-0.01184,-0.00664,-0.00862,-0.01606,-0.00607,-0.00687,-0.00754,-0.00808,-0.00875,-0.00974,-0.01062,-0.01114,-0.01142,-0.01157
  38.250,-0.00453,-0.00460,-0.00460,-0.00446,-0.00414,-0.00379,-0.00320,-0.00416,-0.00613,-0.00610,-0.00691,-0.00775,-0.00979,-0.01402,-0.01608,-0.01528,-0.01000, 0.00123,-0.00902,-0.01075,-0.00652,-0.00702,-0.00774,-0.00835,-0.00904,-0.00991,-0.01076,-0.01142,-0.01190,-0.01225
  38.000,-0.00501,-0.00506,-0.00508,-0.00507,-0.00506,-0.00492,-0.00398,-0.00492,-0.00592,-0.00609,-0.00688,-0.00675,-0.00829,-0.01082,-0.01764,-0.01665,-0.01176,-0.00970,-0.01251,-0.01133,-0.00868,-0.00817,-0.00844,-0.00892,-0.00955,-0.01031,-0.01109,-0.01179,-0.01237,-0.01285
  37.750,-0.00551,-0.00555,-0.00556,-0.00551,-0.00538,-0.00510,-0.00513,-0.00590,-0.00501,-0.00591,-0.00673,-0.00645,-0.00674,-0.00619,-0.01218,-0.01588,-0.01595,-0.01568,-0.01358,-0.01204,-0.01028,-0.00950,-0.00941,-0.00970,-0.01020,-0.01085,-0.01155,-0.01223,-0.01284,-0.01340
  37.500,-0.00604,-0.00606,-0.00604,-0.00599,-0.00589,-0.00581,-0.00613,-0.00784,-0.00323,-0.00498,-0.00486,-0.00059,-0.00397,-0.00430,-0.00628,-0.00956,-0.01324,-0.01470,-0.01371,-0.01247,-0.01125,-0.01055,-0.01034,-0.01050,-0.01090,-0.01144,-0.01207,-0.01271,-0.01333,-0.01392
  37.250,-0.00658,-0.00656,-0.00654,-0.00652,-0.00654,-0.00674,-0.00739,-0.00859,-0.00781,-0.00500,-0.00094, 0.00281,-0.00309,-0.00327,-0.00295,-0.00939,-0.01077,-0.01242,-0.01264,-0.01220,-0.01160,-0.01118,-0.01106,-0.01120,-0.01155,-0.01203,-0.01260,-0.01321,-0.01381,-0.01441
  37.000,-0.00710,-0.00704,-0.00698,-0.00692,-0.00691,-0.00699,-0.00716,-0.00703,-0.00525,-0.00174,-0.00037, 0.00046, 0.00249, 0.00000,-0.00197,-0.00644,-0.00870,-0.01043,-0.01128,-0.01153,-0.01149,-0.01144,-0.01151,-0.01173,-0.01209,-0.01256,-0.01311,-0.01369,-0.01428,-0.01488
  36.750,-0.00760,-0.00746,-0.00731,-0.00715,-0.00696,-0.00674,-0.00634,-0.00544,-0.00354,-0.00099, 0.00036, 0.00135, 0.00272, 0.00126,-0.00103,-0.00431,-0.00679,-0.00869,-0.00995,-0.01070,-0.01113,-0.01144,-0.01174,-0.01210,-0.01252,-0.01302,-0.01356,-0.01413,-0.01472,-0.01532
  36.500,-0.00806,-0.00782,-0.00755,-0.00723,-0.00683,-0.00629,-0.00551,-0.00429,-0.00254,-0.00059, 0.00080, 0.00178, 0.00242, 0.00148,-0.00045,-0.00299,-0.00533,-0.00728,-0.00878,-0.00987,-0.01066,-0.01127,-0.01181,-0.01232,-0.01285,-0.01339,-0.01396,-0.01454,-0.01514,-0.01574
  36.250,-0.00849,-0.00813,-0.00772,-0.00723,-0.00662,-0.00585,-0.00484,-0.00353,-0.00194,-0.00033, 0.00094, 0.00178, 0.00207, 0.00136,-0.00017,-0.00221,-0.00430,-0.00620,-0.00781,-0.00911,-0.01017,-0.01103,-0.01177,-0.01244,-0.01308,-0.01369,-0.01430,-0.01491,-0.01552,-0.01614
  36.000,-0.00891,-0.00841,-0.00785,-0.00720,-0.00642,-0.00548,-0.00435,-0.00302,-0.00158,-0.00020, 0.00091, 0.00160, 0.00174, 0.00116,-0.00007,-0.00174,-0.00358,-0.00538,-0.00702,-0.00846,-0.00969,-0.01075,-0.01167,-0.01249,-0.01324,-0.01394,-0.01460,-0.01525,-0.01589,-0.01652
